sep=,
sender,timestamp,longitude,latitude,acc,batt,charge,time,emergency,azimuth,signalStrength,wifiSignalStrength
kpopovic@risnjak,2024-06-14 12:04:36+02:00,18.6963,45.5487,0,87,0,0,0,136.9834,-200.0,-42.0
igudelj@risnjak,2024-06-14 12:04:37+02:00,18.6966,45.549,0,64,0,0,0,318.3914,-200.0,-50.0
rdean@risnjak,2024-06-14 12:04:43+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:04:46+02:00,18.6963,45.5487,0,87,0,0,0,136.90027,-200.0,-44.0
igudelj@risnjak,2024-06-14 12:04:47+02:00,18.6966,45.549,0,64,0,0,0,318.35245,-200.0,-50.0
rdean@risnjak,2024-06-14 12:04:53+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:04:56+02:00,18.6963,45.5487,0,87,0,0,0,136.91522,-200.0,-44.0
igudelj@risnjak,2024-06-14 12:04:57+02:00,18.6966,45.549,0,64,0,0,0,318.12323,-200.0,-50.0
rdean@risnjak,2024-06-14 12:05:03+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:05:06+02:00,18.6963,45.5487,0,87,0,0,0,136.91986,-200.0,-42.0
igudelj@risnjak,2024-06-14 12:05:07+02:00,18.6966,45.549,0,64,0,0,0,318.27948,-200.0,-50.0
rdean@risnjak,2024-06-14 12:05:13+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:05:16+02:00,18.6963,45.5487,0,87,0,0,0,137.02588,-200.0,-43.0
igudelj@risnjak,2024-06-14 12:05:17+02:00,18.6966,45.549,0,64,0,0,0,318.62152,-200.0,-50.0
rdean@risnjak,2024-06-14 12:05:23+02:00,18.6962,45.5487,0,36,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:05:26+02:00,18.6963,45.5487,0,87,0,0,0,140.40125,-200.0,-42.0
igudelj@risnjak,2024-06-14 12:05:27+02:00,18.6966,45.549,0,64,0,0,0,318.59146,-200.0,-50.0
rdean@risnjak,2024-06-14 12:05:33+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-69.0,-200.0
kpopovic@risnjak,2024-06-14 12:05:36+02:00,18.6963,45.5487,0,87,0,0,0,140.83032,-200.0,-41.0
igudelj@risnjak,2024-06-14 12:05:37+02:00,18.6966,45.549,0,64,0,0,0,318.51263,-200.0,-50.0
rdean@risnjak,2024-06-14 12:05:43+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-70.0,-200.0
kpopovic@risnjak,2024-06-14 12:05:46+02:00,18.6963,45.5487,0,87,0,0,0,140.80548,-200.0,-41.0
igudelj@risnjak,2024-06-14 12:05:47+02:00,18.6966,45.549,0,64,0,0,0,318.6102,-200.0,-50.0
rdean@risnjak,2024-06-14 12:05:53+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-70.0,-200.0
kpopovic@risnjak,2024-06-14 12:05:56+02:00,18.6963,45.5487,0,87,0,0,0,140.70184,-200.0,-39.0
igudelj@risnjak,2024-06-14 12:05:57+02:00,18.6966,45.549,0,64,0,0,0,318.63907,-200.0,-50.0
rdean@risnjak,2024-06-14 12:06:03+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-70.0,-200.0
kpopovic@risnjak,2024-06-14 12:06:06+02:00,18.6963,45.5487,0,87,0,0,0,140.84784,-200.0,-41.0
igudelj@risnjak,2024-06-14 12:06:07+02:00,18.6966,45.549,0,64,0,0,0,318.44025,-200.0,-50.0
rdean@risnjak,2024-06-14 12:06:13+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-70.0,-200.0
kpopovic@risnjak,2024-06-14 12:06:16+02:00,18.6963,45.5487,0,87,0,0,0,140.79108,-200.0,-39.0
igudelj@risnjak,2024-06-14 12:06:17+02:00,18.6966,45.549,0,64,0,0,0,318.58643,-200.0,-50.0
rdean@risnjak,2024-06-14 12:06:23+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:06:26+02:00,18.6963,45.5487,0,86,0,0,0,140.71045,-200.0,-39.0
igudelj@risnjak,2024-06-14 12:06:27+02:00,18.6966,45.549,0,64,0,0,0,318.55988,-200.0,-50.0
rdean@risnjak,2024-06-14 12:06:33+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:06:36+02:00,18.6963,45.5487,0,86,0,0,0,140.65186,-200.0,-39.0
igudelj@risnjak,2024-06-14 12:06:37+02:00,18.6966,45.549,0,64,0,0,0,318.53317,-200.0,-50.0
rdean@risnjak,2024-06-14 12:06:43+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:06:46+02:00,18.6963,45.5487,0,86,0,0,0,140.74481,-200.0,-45.0
igudelj@risnjak,2024-06-14 12:06:47+02:00,18.6966,45.549,0,64,0,0,0,318.6087,-200.0,-50.0
rdean@risnjak,2024-06-14 12:06:53+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:06:56+02:00,18.6963,45.5487,0,86,0,0,0,140.69052,-200.0,-40.0
igudelj@risnjak,2024-06-14 12:06:57+02:00,18.6966,45.549,0,64,0,0,0,318.46048,-200.0,-50.0
rdean@risnjak,2024-06-14 12:07:03+02:00,18.6962,45.5487,0,35,0,0,0,11.054657,-72.0,-200.0
kpopovic@risnjak,2024-06-14 12:07:06+02:00,18.6963,45.5487,0,86,0,0,0,140.33987,-200.0,-40.0
